ImageInd	1
maxSize	None
minSize	50
minCir	0.6
channel	2
maxCir	None
thresh	75
->
x	y	r	c
2206.246	335.267	7.715	0.751
1940.447	541.736	14.766	0.715
1837.982	925.764	4.184	0.888
1637.688	1257.725	8.740	0.981
1541.224	1312.086	4.297	0.789
1338.845	1902.324	6.864	0.827
1330.264	2031.057	4.107	0.630
1129.221	2246.282	7.203	0.837
1119.901	2270.070	7.378	0.667
906.678	2749.498	8.612	0.638
7959.053	4744.237	23.595	0.746
7033.572	5219.625	9.253	0.948
7927.373	5863.544	8.759	0.944
8091.335	5953.872	8.038	0.951
6182.590	5970.468	11.452	0.688
5506.285	6006.325	9.805	0.873
8091.851	6020.740	8.649	0.972
8075.356	6572.074	9.966	0.902
8041.991	6642.433	10.464	0.869
8025.123	6665.131	12.754	0.679
6918.395	6758.603	11.142	0.877
8128.924	6761.176	8.921	0.917
5728.754	6920.732	8.519	0.889
7419.519	7057.244	9.062	0.746
7889.079	7364.175	10.779	0.712
7079.274	7916.241	10.218	0.915
4215.453	8294.175	6.604	0.746
6741.830	8387.679	10.061	0.845
1504.756	8396.929	7.047	0.790
3978.560	8472.947	8.117	0.872
7839.780	8788.938	12.853	0.636
7964.758	8837.513	8.667	0.779
7669.629	9404.626	10.357	0.832
442.701	9459.154	6.103	0.701
444.528	9547.744	37.001	0.653
5823.771	10859.380	9.202	0.965
6447.914	10923.207	47.429	0.618
6381.398	10904.419	11.099	0.898
7910.244	11430.836	13.934	0.733
2036.250	11830.885	4.068	0.750
5785.997	13246.765	10.218	0.823
6282.418	13714.324	12.489	0.809
5016.616	14047.579	12.803	0.816
7845.858	14172.135	9.934	0.907
6675.881	14443.030	28.457	0.780
5079.638	14899.880	15.727	0.623
7557.179	15011.193	18.788	0.781
5088.533	15011.289	14.082	0.782
7506.536	15101.278	11.713	0.860
5581.840	15098.525	8.813	0.748
7329.746	15115.231	12.205	0.784
7312.267	15150.864	12.964	0.724
8026.619	15213.564	15.848	0.622
8087.220	15350.992	10.882	0.909
5178.619	15440.359	19.007	0.619
3077.255	15954.327	4.184	0.926
7375.273	16143.941	12.270	0.646
5767.526	16422.852	12.425	0.840
6932.521	16526.982	30.146	0.830
6502.171	16652.289	11.740	0.923
4626.059	16883.069	5.670	0.801
130.031	17216.924	42.934	0.621
5958.012	17224.582	11.382	0.794
5939.474	17256.186	11.027	0.921
5989.433	17260.519	10.882	0.933
204.944	17266.951	7.181	0.807
5709.343	17274.901	10.896	0.852
6075.415	17301.641	11.645	0.881
6094.734	17361.534	11.781	0.852
6345.789	17628.408	4.918	0.882
6303.690	17655.529	5.262	0.894
1212.464	17660.825	5.557	0.635
5335.763	17734.677	5.441	0.717
7348.208	17904.346	10.984	0.794
6020.976	17923.458	10.998	0.810
7598.155	17951.520	11.658	0.806
594.210	17968.110	17.444	0.634
847.598	18067.369	12.361	0.819
995.179	18212.536	4.222	1.000
